"age","date","population_thousand","workingpop_thousand","employed_thousand","unemployed_thousand","nonworkingpop_thousand","involvement_rate","unemployment_rate","employment_rate"
"25-29","2008/10/01","3895.5","2863.6","2689","174.6","1032","73.5","6.1","69"
"25-29","2008/11/01","3894.5","2864.2","2694.8","169.3","1030.3","73.5","5.9","69.2"
"25-29","2008/12/01","3893.2","2817.8","2656.8","161","1075.4","72.4","5.7","68.2"
"25-29","2009/01/01","3888.3","2804.8","2617.9","186.8","1083.5","72.1","6.7","67.3"
"25-29","2009/02/01","3881.4","2800.4","2588","212.4","1080.9","72.1","7.6","66.7"
"25-29","2009/03/01","3873.9","2835.5","2608.2","227.2","1038.4","73.2","8","67.3"
"25-29","2009/04/01","3866.4","2847.4","2636.9","210.5","1019","73.6","7.4","68.2"
"25-29","2009/05/01","3858.8","2857.5","2661.5","196","1001.2","74.1","6.9","69"
"25-29","2009/06/01","3850.9","2844.9","2640.4","204.5","1006","73.9","7.2","68.6"
"25-29","2009/07/01","3842.2","2789","2586.9","202.1","1053.2","72.6","7.2","67.3"
"25-29","2009/08/01","3834.2","2734","2528.5","205.5","1100.1","71.3","7.5","65.9"
"25-29","2009/09/01","3826.2","2745.8","2552.6","193.2","1080.3","71.8","7","66.7"
"25-29","2009/10/01","3818.2","2756.4","2563.9","192.5","1061.8","72.2","7","67.1"
"25-29","2009/11/01","3810.1","2774.9","2591.9","183","1035.2","72.8","6.6","68"
"25-29","2009/12/01","3801.9","2770.5","2598.3","172.2","1031.4","72.9","6.2","68.3"
"25-29","2010/01/01","3792.2","2776.2","2576.4","199.8","1016","73.2","7.2","67.9"
"25-29","2010/02/01","3779.9","2780.8","2542.8","238","999.1","73.6","8.6","67.3"
"25-29","2010/03/01","3767.8","2756.5","2540.9","215.6","1011.3","73.2","7.8","67.4"
"25-29","2010/04/01","3755.6","2787.4","2579.5","207.8","968.2","74.2","7.5","68.7"
"25-29","2010/05/01","3744.1","2761.6","2601.5","160.1","982.4","73.8","5.8","69.5"
"25-29","2010/06/01","3732.2","2750.8","2573.7","177.1","981.4","73.7","6.4","69"
"25-29","2010/07/01","3719.8","2748.8","2545.2","203.6","971","73.9","7.4","68.4"
"25-29","2010/08/01","3706.9","2690.7","2517.6","173.1","1016.2","72.6","6.4","67.9"
"25-29","2010/09/01","3693.7","2691.5","2508","183.5","1002.2","72.9","6.8","67.9"
"25-29","2010/10/01","3680.6","2671.7","2493.4","178.2","1008.9","72.6","6.7","67.7"
"25-29","2010/11/01","3668.1","2663.2","2495.3","167.8","1004.9","72.6","6.3","68"
"25-29","2010/12/01","3656","2670.2","2495.1","175.1","985.8","73","6.6","68.2"
"25-29","2011/01/01","3643.5","2665.9","2486.4","179.5","977.6","73.2","6.7","68.2"
"25-29","2011/02/01","3630.7","2673.6","2485.4","188.2","957.1","73.6","7","68.5"
"25-29","2011/03/01","3618.2","2682.3","2459.1","223.2","935.9","74.1","8.3","68"
"25-29","2011/04/01","3605.4","2703.6","2484.9","218.7","901.8","75","8.1","68.9"
"25-29","2011/05/01","3593.6","2713.5","2518.6","195","880.1","75.5","7.2","70.1"
"25-29","2011/06/01","3580.5","2682.1","2519.4","162.7","898.4","74.9","6.1","70.4"
"25-29","2011/07/01","3562.9","2675.7","2529","146.6","887.2","75.1","5.5","71"
"25-29","2011/08/01","3551.4","2657.3","2515.7","141.6","894.2","74.8","5.3","70.8"
"25-29","2011/09/01","3539.3","2649.6","2509.1","140.5","889.7","74.9","5.3","70.9"
"25-29","2011/10/01","3527.6","2633.1","2479.6","153.6","894.5","74.6","5.8","70.3"
"25-29","2011/11/01","3516.7","2624.7","2472.5","152.2","892.1","74.6","5.8","70.3"
"25-29","2011/12/01","3507.5","2607.1","2442.5","164.5","900.5","74.3","6.3","69.6"
"25-29","2012/01/01","3483.3","2572.4","2405.5","166.9","911","73.8","6.5","69.1"
"25-29","2012/02/01","3466.9","2595.5","2408.8","186.7","871.3","74.9","7.2","69.5"
"25-29","2012/03/01","3450.5","2612.6","2425.4","187.2","837.9","75.7","7.2","70.3"
"25-29","2012/04/01","3434.2","2590.8","2393.9","196.9","843.4","75.4","7.6","69.7"
"25-29","2012/05/01","3419.2","2590.3","2402.9","187.4","828.9","75.8","7.2","70.3"
"25-29","2012/06/01","3403.2","2551.7","2381.4","170.3","851.5","75","6.7","70"
"25-29","2012/07/01","3392.2","2533.8","2391","142.8","858.5","74.7","5.6","70.5"
"25-29","2012/08/01","3388.5","2490","2350.8","139.1","898.6","73.5","5.6","69.4"
"25-29","2012/09/01","3384.6","2473.7","2322.6","151.1","910.9","73.1","6.1","68.6"
"25-29","2012/10/01","3380.8","2474.2","2308.5","165.7","906.6","73.2","6.7","68.3"
"25-29","2012/11/01","3377.8","2454.9","2296.5","158.4","922.9","72.7","6.5","68"
"25-29","2012/12/01","3376.6","2423.4","2273.9","149.5","953.2","71.8","6.2","67.3"
"25-29","2013/01/01","3366.7","2446.1","2289.7","156.4","920.7","72.7","6.4","68"
"25-29","2013/02/01","3358.4","2457.9","2260.7","197.1","900.5","73.2","8","67.3"
"25-29","2013/03/01","3349.1","2459.6","2288.8","170.8","889.6","73.4","6.9","68.3"
"25-29","2013/04/01","3340.4","2469.1","2298.9","170.2","871.2","73.9","6.9","68.8"
"25-29","2013/05/01","3331.9","2488.3","2320.6","167.8","843.5","74.7","6.7","69.6"
"25-29","2013/06/01","3323.7","2481.3","2301.7","179.6","842.4","74.7","7.2","69.3"
"25-29","2013/07/01","3317.1","2465.5","2301.1","164.4","851.6","74.3","6.7","69.4"
"25-29","2013/08/01","3314.8","2453","2285.5","167.4","861.9","74","6.8","68.9"
"25-29","2013/09/01","3312.5","2491.6","2303.1","188.5","820.9","75.2","7.6","69.5"
"25-29","2013/10/01","3310.2","2470.5","2286.6","184","839.7","74.6","7.4","69.1"
"25-29","2013/11/01","3308.1","2469.9","2285.1","184.9","838.2","74.7","7.5","69.1"
"25-29","2013/12/01","3305.9","2446","2266.9","179.1","859.9","74","7.3","68.6"
"25-29","2014/01/01","3299.6","2437.6","2269","168.6","862.1","73.9","6.9","68.8"
"25-29","2014/02/01","3294","2497","2253.3","243.7","797","75.8","9.8","68.4"
"25-29","2014/03/01","3288","2484.1","2264.4","219.7","803.9","75.6","8.8","68.9"
"25-29","2014/04/01","3282.1","2516.9","2277.3","239.6","765.2","76.7","9.5","69.4"
"25-29","2014/05/01","3276.4","2486","2282.9","203.1","790.4","75.9","8.2","69.7"
"25-29","2014/06/01","3270.6","2491.7","2271.9","219.7","778.9","76.2","8.8","69.5"
"25-29","2014/07/01","3271.6","2479.9","2275.6","204.3","791.7","75.8","8.2","69.6"
"25-29","2014/08/01","3273","2460","2253","207","813","75.2","8.4","68.8"
"25-29","2014/09/01","3274.1","2460.9","2260.4","200.5","813.1","75.2","8.1","69"
"25-29","2014/10/01","3274.9","2449.8","2262.4","187.4","825.1","74.8","7.6","69.1"
"25-29","2014/11/01","3276.2","2462.1","2277.4","184.7","814.2","75.2","7.5","69.5"
"25-29","2014/12/01","3277.4","2438.7","2244","194.7","838.7","74.4","8","68.5"
"25-29","2015/01/01","3278.8","2431","2251.5","179.6","847.8","74.1","7.4","68.7"
"25-29","2015/02/01","3280.5","2472.3","2246.3","226.1","808.2","75.4","9.1","68.5"
"25-29","2015/03/01","3281.9","2460.5","2226.4","234.1","821.4","75","9.5","67.8"
"25-29","2015/04/01","3283.5","2486.2","2255.1","231.1","797.3","75.7","9.3","68.7"
"25-29","2015/05/01","3285","2474.5","2251.8","222.8","810.5","75.3","9","68.5"
"25-29","2015/06/01","3286.6","2486.2","2273.5","212.6","800.4","75.6","8.6","69.2"
"25-29","2015/07/01","3291.5","2486.2","2284","202.2","805.3","75.5","8.1","69.4"
"25-29","2015/08/01","3296.5","2456","2269.5","186.4","840.5","74.5","7.6","68.8"
"25-29","2015/09/01","3301.6","2471.4","2292.2","179.2","830.2","74.9","7.3","69.4"
"25-29","2015/10/01","3306.5","2453.5","2289","164.5","853","74.2","6.7","69.2"
"25-29","2015/11/01","3311.5","2496.9","2312.1","184.8","814.6","75.4","7.4","69.8"
"25-29","2015/12/01","3316.7","2496.2","2307.1","189.1","820.5","75.3","7.6","69.6"
"25-29","2016/01/01","3319.7","2500.1","2292.1","208","819.5","75.3","8.3","69"
"25-29","2016/02/01","3323.6","2575.4","2268.9","306.5","748.2","77.5","11.9","68.3"
"25-29","2016/03/01","3327.8","2548.6","2278.3","270.3","779.2","76.6","10.6","68.5"
"25-29","2016/04/01","3331.7","2591.1","2320.7","270.4","740.6","77.8","10.4","69.7"
"25-29","2016/05/01","3335.8","2593.1","2351","242.1","742.7","77.7","9.3","70.5"
"25-29","2016/06/01","3340","2615.3","2368.7","246.6","724.6","78.3","9.4","70.9"
"25-29","2016/07/01","3345.4","2591.9","2378.9","213","753.5","77.5","8.2","71.1"
"25-29","2016/08/01","3350.9","2561.6","2335.2","226.5","789.3","76.4","8.8","69.7"
"25-29","2016/09/01","3356.5","2575.3","2349.6","225.7","781.1","76.7","8.8","70"
"25-29","2016/10/01","3362.1","2557.5","2353.6","203.9","804.5","76.1","8","70"
"30-39","1999/06/01","8463","6439","6069","371","2024","76.1","5.8","71.7"
"30-39","1999/07/01","8463","6374","6036","338","2089","75.3","5.3","71.3"
"30-39","1999/08/01","8464","6324","5993","332","2140","74.7","5.2","70.8"
"30-39","1999/09/01","8465","6411","6135","277","2054","75.7","4.3","72.5"
"30-39","1999/10/01","8466","6444","6173","271","2022","76.1","4.2","72.9"
"30-39","1999/11/01","8467","6450","6209","242","2017","76.2","3.8","73.3"
"30-39","1999/12/01","8468","6364","6133","232","2104","75.2","3.6","72.4"
"30-39","2000/01/01","8459","6271","6006","266","2188","74.1","4.2","71"
"30-39","2000/02/01","8460","6280","5995","285","2181","74.2","4.5","70.9"
"30-39","2000/03/01","8461","6349","6081","268","2112","75","4.2","71.9"
"30-39","2000/04/01","8462","6366","6142","223","2097","75.2","3.5","72.6"
"30-39","2000/05/01","8464","6410","6182","228","2054","75.7","3.6","73"
"30-39","2000/06/01","8465","6397","6188","210","2068","75.6","3.3","73.1"
"30-39","2000/07/01","8468","6363","6164","199","2104","75.1","3.1","72.8"
"30-39","2000/08/01","8470","6311","6094","216","2159","74.5","3.4","71.9"
"30-39","2000/09/01","8472","6412","6180","233","2060","75.7","3.6","72.9"
"30-39","2000/10/01","8474","6447","6243","204","2027","76.1","3.2","73.7"
"30-39","2000/11/01","8476","6438","6218","220","2038","76","3.4","73.4"
"30-39","2000/12/01","8478","6384","6156","228","2094","75.3","3.6","72.6"
"30-39","2001/01/01","8478","6295","6061","235","2183","74.3","3.7","71.5"
"30-39","2001/02/01","8480","6298","6030","268","2181","74.3","4.3","71.1"
"30-39","2001/03/01","8481","6337","6079","258","2144","74.7","4.1","71.7"
"30-39","2001/04/01","8483","6403","6186","217","2080","75.5","3.4","72.9"
"30-39","2001/05/01","8485","6424","6229","194","2061","75.7","3","73.4"
"30-39","2001/06/01","8487","6403","6212","191","2084","75.4","3","73.2"
"30-39","2001/07/01","8489","6370","6179","191","2120","75","3","72.8"
"30-39","2001/08/01","8491","6322","6122","200","2169","74.5","3.2","72.1"
"30-39","2001/09/01","8493","6398","6226","172","2095","75.3","2.7","73.3"
"30-39","2001/10/01","8496","6421","6239","181","2075","75.6","2.8","73.4"
"30-39","2001/11/01","8498","6407","6234","173","2090","75.4","2.7","73.4"
"30-39","2001/12/01","8500","6378","6201","177","2122","75","2.8","73"
"30-39","2002/01/01","8502","6305","6102","203","2197","74.2","3.2","71.8"
"30-39","2002/02/01","8505","6321","6109","212","2184","74.3","3.4","71.8"
"30-39","2002/03/01","8507","6368","6167","202","2139","74.9","3.2","72.5"
"30-39","2002/04/01","8509","6456","6270","186","2053","75.9","2.9","73.7"
"30-39","2002/05/01","8511","6467","6281","186","2044","76","2.9","73.8"
"30-39","2002/06/01","8514","6459","6281","178","2054","75.9","2.8","73.8"
"30-39","2002/07/01","8515","6422","6257","165","2093","75.4","2.6","73.5"
"30-39","2002/08/01","8515","6367","6171","196","2148","74.8","3.1","72.5"
"30-39","2002/09/01","8515","6434","6269","165","2081","75.6","2.6","73.6"
"30-39","2002/10/01","8515","6440","6255","185","2075","75.6","2.9","73.5"
"30-39","2002/11/01","8515","6393","6210","184","2121","75.1","2.9","72.9"
"30-39","2002/12/01","8515","6349","6175","174","2166","74.6","2.7","72.5"
"30-39","2003/01/01","8515.1","6345.7","6165.2","180.5","2169.5","74.5","2.8","72.4"
"30-39","2003/02/01","8515.3","6323.6","6138.1","185.4","2191.7","74.3","2.9","72.1"
"30-39","2003/03/01","8515.5","6396.6","6210.1","186.4","2118.9","75.1","2.9","72.9"
"30-39","2003/04/01","8515.9","6412.4","6223.4","188.9","2103.5","75.3","2.9","73.1"
"30-39","2003/05/01","8516.4","6439.2","6254.9","184.3","2077.2","75.6","2.9","73.4"
"30-39","2003/06/01","8516.4","6425.6","6237.5","188.1","2090.7","75.4","2.9","73.2"
"30-39","2003/07/01","8517","6386.9","6200.1","186.8","2130.1","75","2.9","72.8"
"30-39","2003/08/01","8517.2","6302.3","6108.7","193.5","2215","74","3.1","71.7"
"30-39","2003/09/01","8517.7","6365.6","6167.7","198","2152.1","74.7","3.1","72.4"
"30-39","2003/10/01","8518.3","6385.6","6180.8","204.8","2132.7","75","3.2","72.6"
"30-39","2003/11/01","8518.7","6386.1","6193.5","192.6","2132.6","75","3","72.7"
"30-39","2003/12/01","8519.3","6338.1","6149.9","188.2","2181.2","74.4","3","72.2"
"30-39","2004/01/01","8519.9","6320.3","6126.8","193.5","2199.6","74.2","3.1","71.9"
"30-39","2004/02/01","8519.7","6363.5","6166.1","197.4","2156.2","74.7","3.1","72.4"
"30-39","2004/03/01","8519.5","6402.1","6214","188.1","2117.4","75.1","2.9","72.9"
"30-39","2004/04/01","8519.2","6442.3","6238.3","204","2076.9","75.6","3.2","73.2"
"30-39","2004/05/01","8519","6409.8","6230.1","179.7","2109.2","75.2","2.8","73.1"
"30-39","2004/06/01","8519.1","6422","6246.3","175.7","2097","75.4","2.7","73.3"
"30-39","2004/07/01","8517.4","6373.1","6169.7","203.4","2144.3","74.8","3.2","72.4"
"30-39","2004/08/01","8513.7","6318","6110","207.9","2195.7","74.2","3.3","71.8"
"30-39","2004/09/01","8509.8","6393","6191.9","201.1","2116.8","75.1","3.1","72.8"
"30-39","2004/10/01","8506","6373.2","6172.7","200.5","2132.8","74.9","3.1","72.6"
"30-39","2004/11/01","8501.9","6357.1","6163.6","193.5","2144.8","74.8","3","72.5"
"30-39","2004/12/01","8497.8","6354.1","6144.8","209.4","2143.7","74.8","3.3","72.3"
"30-39","2005/01/01","8492.6","6290.4","6067.3","223.1","2202.2","74.1","3.5","71.4"
"30-39","2005/02/01","8486.6","6268.7","6037.8","231","2217.9","73.9","3.7","71.1"
"30-39","2005/03/01","8480.6","6327.8","6111.1","216.6","2152.8","74.6","3.4","72.1"
"30-39","2005/04/01","8474.6","6350.6","6136.1","214.5","2124","74.9","3.4","72.4"
"30-39","2005/05/01","8468.8","6369","6173.1","195.9","2099.8","75.2","3.1","72.9"
"30-39","2005/06/01","8463.2","6343.3","6152.7","190.7","2119.9","75","3","72.7"
"30-39","2005/07/01","8454.3","6294.8","6113.8","181","2159.6","74.5","2.9","72.3"
"30-39","2005/08/01","8449.6","6252.1","6046.5","205.6","2197.5","74","3.3","71.6"
"30-39","2005/09/01","8448.2","6355.2","6116.2","239","2093","75.2","3.8","72.4"
"30-39","2005/10/01","8445.5","6393.7","6166","227.7","2051.9","75.7","3.6","73"
"30-39","2005/11/01","8443.1","6381.8","6183.1","198.7","2061.4","75.6","3.1","73.2"
"30-39","2005/12/01","8440.4","6358.7","6159.4","199.4","2081.7","75.3","3.1","73"
"30-39","2006/01/01","8428.6","6294.8","6092.3","202.4","2133.8","74.7","3.2","72.3"
"30-39","2006/02/01","8418.6","6286.5","6067.2","219.3","2132.1","74.7","3.5","72.1"
"30-39","2006/03/01","8409.1","6345.9","6121.6","224.3","2063.2","75.5","3.5","72.8"
"30-39","2006/04/01","8397.8","6372.5","6193.2","179.3","2025.3","75.9","2.8","73.7"
"30-39","2006/05/01","8386.5","6376.3","6205.9","170.4","2010.2","76","2.7","74"
"30-39","2006/06/01","8374.7","6363.9","6182.6","181.4","2010.7","76","2.9","73.8"
"30-39","2006/07/01","8372.7","6321.3","6143.6","177.7","2051.3","75.5","2.8","73.4"
"30-39","2006/08/01","8368.7","6290","6093.6","196.5","2078.6","75.2","3.1","72.8"
"30-39","2006/09/01","8364.3","6332.9","6134.2","198.7","2031.4","75.7","3.1","73.3"
"30-39","2006/10/01","8359.7","6327.2","6143.7","183.5","2032.4","75.7","2.9","73.5"
"30-39","2006/11/01","8355.9","6331.1","6148.5","182.5","2024.8","75.8","2.9","73.6"
"30-39","2006/12/01","8350.7","6270.7","6099.8","170.9","2079.9","75.1","2.7","73"
"30-39","2007/01/01","8334.2","6204.2","5990.7","213.5","2129.9","74.4","3.4","71.9"
"30-39","2007/02/01","8320.6","6178.7","5966.9","211.8","2141.9","74.3","3.4","71.7"
"30-39","2007/03/01","8308.5","6255.2","6032.9","222.3","2053.4","75.3","3.6","72.6"
"30-39","2007/04/01","8292.1","6258.5","6044.6","213.9","2033.6","75.5","3.4","72.9"
"30-39","2007/05/01","8277.5","6230.6","6029.1","201.5","2047","75.3","3.2","72.8"
"30-39","2007/06/01","8263.4","6257.5","6063.3","194.1","2006","75.7","3.1","73.4"
"30-39","2007/07/01","8263.8","6226.3","6042","184.3","2037.4","75.3","3","73.1"
"30-39","2007/08/01","8264.1","6163.1","5963.7","199.4","2101","74.6","3.2","72.2"
"30-39","2007/09/01","8264.4","6220.9","6039","181.9","2043.5","75.3","2.9","73.1"
"30-39","2007/10/01","8265","6245.2","6054.8","190.4","2019.9","75.6","3","73.3"
"30-39","2007/11/01","8265.3","6308.5","6130.7","177.9","1956.7","76.3","2.8","74.2"
"30-39","2007/12/01","8265.6","6246.5","6067.2","179.3","2019","75.6","2.9","73.4"
"30-39","2008/01/01","8263.2","6170.7","5977.1","193.5","2092.6","74.7","3.1","72.3"
"30-39","2008/02/01","8261.4","6169.6","5977.5","192.1","2091.8","74.7","3.1","72.4"
"30-39","2008/03/01","8259.5","6216","6024.2","191.8","2043.5","75.3","3.1","72.9"
"30-39","2008/04/01","8257.6","6259.6","6069.2","190.5","1998","75.8","3","73.5"
"30-39","2008/05/01","8255.8","6265.9","6068.5","197.4","1989.9","75.9","3.2","73.5"
"30-39","2008/06/01","8254.1","6260.3","6086.9","173.4","1993.8","75.8","2.8","73.7"
"30-39","2008/07/01","8249.7","6195.4","6012.8","182.6","2054.3","75.1","2.9","72.9"
"30-39","2008/08/01","8245","6134.1","5939.9","194.2","2110.9","74.4","3.2","72"
"30-39","2008/09/01","8240.2","6185.8","5984.3","201.5","2054.4","75.1","3.3","72.6"
"30-39","2008/10/01","8235.4","6225","6018.5","206.5","2010.4","75.6","3.3","73.1"
"30-39","2008/11/01","8230.9","6208.8","5999","209.8","2022.1","75.4","3.4","72.9"
"30-39","2008/12/01","8226.3","6147.3","5958","189.3","2079","74.7","3.1","72.4"
"30-39","2009/01/01","8222.5","6077.6","5864.4","213.2","2145","73.9","3.5","71.3"
"30-39","2009/02/01","8216.8","6040","5810.8","229.2","2176.8","73.5","3.8","70.7"
"30-39","2009/03/01","8210.7","6066.7","5827.2","239.5","2144","73.9","3.9","71"
"30-39","2009/04/01","8204.6","6088.7","5839.7","249","2115.8","74.2","4.1","71.2"
"30-39","2009/05/01","8198.3","6084.1","5857.1","227","2114.2","74.2","3.7","71.4"
"30-39","2009/06/01","8191.8","6121.2","5887.7","233.4","2070.7","74.7","3.8","71.9"
"30-39","2009/07/01","8183.7","6027.9","5810.5","217.3","2155.9","73.7","3.6","71"
"30-39","2009/08/01","8176.4","5996.7","5774.2","222.5","2179.7","73.3","3.7","70.6"
"30-39","2009/09/01","8169","6044.7","5846.7","198","2124.2","74","3.3","71.6"
"30-39","2009/10/01","8161.7","6041","5843.2","197.8","2120.7","74","3.3","71.6"
"30-39","2009/11/01","8154.1","6063.2","5857.4","205.7","2090.9","74.4","3.4","71.8"
"30-39","2009/12/01","8146.6","6029.3","5826.7","202.6","2117.3","74","3.4","71.5"
"30-39","2010/01/01","8141.3","6015.2","5783.6","231.6","2126.1","73.9","3.9","71"
"30-39","2010/02/01","8133.8","6016.4","5774.2","242.2","2117.3","74","4","71"
"30-39","2010/03/01","8126.4","6048.7","5819.3","229.4","2077.6","74.4","3.8","71.6"
"30-39","2010/04/01","8118.9","6058.8","5826.8","232","2060.1","74.6","3.8","71.8"
"30-39","2010/05/01","8112","6067.7","5858.3","209.5","2044.3","74.8","3.5","72.2"
"30-39","2010/06/01","8104.9","6069.4","5860.4","209","2035.5","74.9","3.4","72.3"
"30-39","2010/07/01","8098.4","6050.7","5842.9","207.7","2047.7","74.7","3.4","72.1"
"30-39","2010/08/01","8091.4","6031.3","5811.5","219.9","2060.1","74.5","3.6","71.8"
"30-39","2010/09/01","8084.2","6050.1","5840","210.1","2034.1","74.8","3.5","72.2"
"30-39","2010/10/01","8077.2","6067.7","5862.5","205.2","2009.5","75.1","3.4","72.6"
"30-39","2010/11/01","8070.6","6056.4","5874.1","182.3","2014.2","75","3","72.8"
"30-39","2010/12/01","8064.5","6035.2","5842.1","193","2029.3","74.8","3.2","72.4"
"30-39","2011/01/01","8057.5","5967.9","5754.2","213.7","2089.6","74.1","3.6","71.4"
"30-39","2011/02/01","8050.2","5988.4","5738.3","250.1","2061.8","74.4","4.2","71.3"
"30-39","2011/03/01","8043.2","6029.8","5782.5","247.3","2013.4","75","4.1","71.9"
"30-39","2011/04/01","8036","6046.2","5809.4","236.7","1989.8","75.2","3.9","72.3"
"30-39","2011/05/01","8029.7","6034.5","5843.2","191.2","1995.2","75.2","3.2","72.8"
"30-39","2011/06/01","8022.2","6058.7","5853.9","204.8","1963.5","75.5","3.4","73"
"30-39","2011/07/01","8012.2","5975","5791.3","183.7","2037.2","74.6","3.1","72.3"
"30-39","2011/08/01","8005.5","5920.3","5718.9","201.3","2085.2","74","3.4","71.4"
"30-39","2011/09/01","7998.2","5917.5","5735.6","181.9","2080.8","74","3.1","71.7"
"30-39","2011/10/01","7991.5","5970.3","5796.5","173.8","2021.1","74.7","2.9","72.5"
"30-39","2011/11/01","7985.4","5989.8","5817.3","172.4","1995.6","75","2.9","72.8"
"30-39","2011/12/01","7981","5960.8","5795.7","165.1","2020.2","74.7","2.8","72.6"
"30-39","2012/01/01","7951","5872.9","5706","166.9","2078.2","73.9","2.8","71.8"
"30-39","2012/02/01","7941.7","5887.3","5685.8","201.5","2054.4","74.1","3.4","71.6"
"30-39","2012/03/01","7932.4","5889.4","5687.4","202","2043","74.2","3.4","71.7"
"30-39","2012/04/01","7923","5933.5","5734.9","198.5","1989.5","74.9","3.3","72.4"
"30-39","2012/05/01","7915.1","5932.2","5747.9","184.2","1982.9","74.9","3.1","72.6"
"30-39","2012/06/01","7905.8","5963.8","5783.7","180.1","1942","75.4","3","73.2"
"30-39","2012/07/01","7900.2","5957.3","5784.6","172.7","1943","75.4","2.9","73.2"
"30-39","2012/08/01","7898.4","5926","5761.3","164.8","1972.4","75","2.8","72.9"
"30-39","2012/09/01","7896.3","5960.9","5800","161","1935.4","75.5","2.7","73.5"
"30-39","2012/10/01","7894.4","5984.7","5823.7","161","1909.7","75.8","2.7","73.8"
"30-39","2012/11/01","7893.4","5965.3","5799.3","166","1928.2","75.6","2.8","73.5"
"30-39","2012/12/01","7894.8","5915.6","5755.4","160.3","1979.2","74.9","2.7","72.9"
"30-39","2013/01/01","7885.9","5873.1","5679.8","193.3","2012.8","74.5","3.3","72"
"30-39","2013/02/01","7878.8","5872.4","5668.5","203.9","2006.4","74.5","3.5","71.9"
"30-39","2013/03/01","7870.6","5873.6","5686.3","187.3","1996.9","74.6","3.2","72.2"
"30-39","2013/04/01","7862.9","5950.8","5769.1","181.7","1912.1","75.7","3.1","73.4"
"30-39","2013/05/01","7855.6","5939.7","5758.8","180.9","1915.9","75.6","3","73.3"
"30-39","2013/06/01","7848.8","5936.8","5761","175.8","1912","75.6","3","73.4"
"30-39","2013/07/01","7834.9","5915","5736.1","178.9","1919.9","75.5","3","73.2"
"30-39","2013/08/01","7824.6","5922.3","5738.8","183.5","1902.2","75.7","3.1","73.3"
"30-39","2013/09/01","7814.3","5916.4","5770.1","146.3","1897.9","75.7","2.5","73.8"
"30-39","2013/10/01","7804","5898.3","5745.8","152.5","1905.8","75.6","2.6","73.6"
"30-39","2013/11/01","7794","5917.3","5763.5","153.8","1876.7","75.9","2.6","73.9"
"30-39","2013/12/01","7783.9","5901","5742.7","158.3","1882.9","75.8","2.7","73.8"
"30-39","2014/01/01","7774.5","5841.4","5691.1","150.3","1933.1","75.1","2.6","73.2"
"30-39","2014/02/01","7765.8","5873.7","5662.3","211.4","1892.1","75.6","3.6","72.9"
"30-39","2014/03/01","7756.7","5860.5","5661.9","198.6","1896.2","75.6","3.4","73"
"30-39","2014/04/01","7747.7","5923.4","5709.6","213.8","1824.3","76.5","3.6","73.7"
"30-39","2014/05/01","7738.9","5910.9","5716.8","194.1","1828","76.4","3.3","73.9"
"30-39","2014/06/01","7730","5932.8","5736.1","196.7","1797.2","76.8","3.3","74.2"
"30-39","2014/07/01","7722.8","5941.3","5752.5","188.8","1781.5","76.9","3.2","74.5"
"30-39","2014/08/01","7716.1","5918.5","5733.7","184.8","1797.7","76.7","3.1","74.3"
"30-39","2014/09/01","7709.1","5905.8","5737.9","167.8","1803.3","76.6","2.8","74.4"
"30-39","2014/10/01","7701.7","5901.1","5722.5","178.6","1800.6","76.6","3","74.3"
"30-39","2014/11/01","7694.9","5884.9","5729.6","155.3","1810","76.5","2.6","74.5"
"30-39","2014/12/01","7688","5871.8","5713.1","158.7","1816.1","76.4","2.7","74.3"
"30-39","2015/01/01","7680.9","5840.8","5674.1","166.7","1840.1","76","2.9","73.9"
"30-39","2015/02/01","7674.2","5871.5","5680.4","191.2","1802.6","76.5","3.3","74"
"30-39","2015/03/01","7667.2","5852.9","5659.2","193.6","1814.3","76.3","3.3","73.8"
"30-39","2015/04/01","7660.5","5851.2","5641.8","209.4","1809.3","76.4","3.6","73.6"
"30-39","2015/05/01","7653.7","5857.2","5673.2","184","1796.5","76.5","3.1","74.1"
"30-39","2015/06/01","7647","5873.7","5680.9","192.8","1773.3","76.8","3.3","74.3"
"30-39","2015/07/01","7640.6","5872.4","5699.5","172.9","1768.2","76.9","2.9","74.6"
"30-39","2015/08/01","7634.4","5852.1","5673.8","178.3","1782.4","76.7","3","74.3"
"30-39","2015/09/01","7628.4","5853","5670.9","182.1","1775.4","76.7","3.1","74.3"
"30-39","2015/10/01","7622.2","5848.1","5676","172.1","1774.1","76.7","2.9","74.5"
"30-39","2015/11/01","7616.1","5848.3","5680","168.3","1767.8","76.8","2.9","74.6"
"30-39","2015/12/01","7610.3","5862.6","5702.2","160.4","1747.7","77","2.7","74.9"
"30-39","2016/01/01","7601.1","5844","5684","160","1757.1","76.9","2.7","74.8"
"30-39","2016/02/01","7593","5835.7","5636.2","199.4","1757.4","76.9","3.4","74.2"
"30-39","2016/03/01","7585.4","5825.1","5630.5","194.6","1760.2","76.8","3.3","74.2"
"30-39","2016/04/01","7577.4","5813.9","5619.9","194","1763.5","76.7","3.3","74.2"
"30-39","2016/05/01","7569.7","5831.6","5653","178.6","1738.1","77","3.1","74.7"
"30-39","2016/06/01","7562","5833.8","5653.1","180.8","1728.1","77.1","3.1","74.8"
"30-39","2016/07/01","7554.5","5827.1","5643.4","183.7","1727.4","77.1","3.2","74.7"
